Category,Subcategory,Local term,English translation,Simple category
Sexist,Female anatomy,göt,ass,Sexual
Sexist,Female anatomy,götçü,asshole,Sexual
Sexist,Female anatomy,am suyu,pussy juice,Sexual
Sexual,Female anatomy,am,pussy,Sexual
Sexual,Female anatomy,göt,ass,Sexual
Sexual,Female anatomy,meme,boobs,Sexual
Sexual,Female anatomy,?eftali,peach (vagina),Sexual
Sexual,Male anatomy,sik,dick,Sexual
Sexual,Male anatomy,yarrak,cock,Sexual
Sexual,Male anatomy,yarak,dick,Sexual
Sexual,Male anatomy,dalga,dick,Sexual
Sexual,Male anatomy,muz,banana (dick),Sexual
Sexual,Male anatomy,çavu?,dick,Sexual
Sexual,Male anatomy,mokar,dick,Sexual
Sexual,Male anatomy,pipi,penis,Sexual
Sexual,Male anatomy,penis,penis,Sexual
Sexual,Male anatomy,sik kafal?,dick-head,Sexual
Sexual,Sex,sik,fuck,Sexual
Sexual,Sex,siki?mek,fuck,Sexual
Sexual,Sex,vurdurmak,get fucked,Sexual
Sexual,Sex,as?lmak,jacking off,Sexual
Sexual,Sex,seks yapmak,having sex,Sexual
Sexual,Sex,bo?al,ejaculate,Sexual
Sexual,Sex,bo?almak,ejaculate,Sexual
Sexual,Sex,düzü?mek,fuck,Sexual
Sexual,Sex,düzü?,fuck,Sexual
Sexual,Sex,üstünden geçmek,fuck,Sexual
Sexual,Sex,am?na koymak,fuck in the vagina,Sexual
Sexual,Sex,meni,cum,Sexual
Sexual,Sex,sperm,cum,Sexual
Sexual,Rape,tecavüz,rape,Violence
Sexual,Rape,tecavüz etmek,rape,Violence
Sexual,Rape,?rz,chastity,Violence
Sexual,Rape,?rz?na geçmek,rape,Violence
Sexual,Rape,taciz,abuse,Violence
Sexual,Rape,taciz etmek,harass,Violence
Slurs,Anti-Gypsy Roma Traveller,çingene,gypsy,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,çingen,gypsy,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,?opar,gypsy,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,esmer,dark-skinned,Anti-GRT
Slurs,Islamophobic,yobaz,uncivilized,Islamophobia
Special_terms,Football-specific,kanarya,canary (anti-Fenerbahce),Special Terms
Special_terms,Football-specific,kedicik,kitty (anti-Galatasaray),Special Terms
Special_terms,Football-specific,kanatl?lar,poultry (anti-Fenerbahce),Special Terms
Special_terms,Football-specific,renkliler,colorful (anti-Fenerbahce and Galatasaray),Special Terms
Special_terms,Football-specific,aslanc?k,tiny lion (anti-Galatasaray),Special Terms
Special_terms,Football-specific,ku?,bird (anti-Fenerbahce),Special Terms
Special_terms,Football-specific,sekizta?,eight stone (anti-Besiktas),Special Terms
Special_terms,Football-specific,hamsi,anchovy (anti-Trabzonspor),Special Terms
Violence,Violent threats,yak,burn,Violence
Violence,Violent threats,yakmak,burn,Violence
Violence,Violent threats,saplamak,stab,Violence
Violence,Violent threats,vurmak,hit,Violence
Violence,Violent threats,ate? etmek,fire,Violence
Violence,Violent threats,ate? et,fire,Violence
Violence,Violent threats,harca,kill,Violence
Violence,Violent threats,harcamak,to kill,Violence
Violence,Violent threats,gömmek,bury,Violence
Violence,Violent threats,mezara gömmek,bury,Violence
Violence,Violent threats,kafas?n? patlatmak,blow your head off,Violence
Violence,Violent threats,kafa patlatmak,bang someone's head,Violence
Violence,Violent threats,yarmak,split,Violence
Violence,Violent threats,de?mek,dig up,Violence
Violence,Violent threats,k?rmak,break,Violence
Violence,Violent threats,kemiklerini k?rmak,break someone's bones,Violence
Violence,Violent threats,ezmek,crush,Violence
Violence,Death threats,öl,die,Violence
Violence,Death threats,öldürmek,kill,Violence
Violence,Death threats,ölmek,to die,Violence
Violence,Death threats,asmak,to hang,Violence
Violence,Death threats,as,hang,Violence
Violence,Death threats,bo?mak,to choke,Violence
Violence,Death threats,bo?,choke,Violence
Violence,Rape,tecavüz,rape,Violence
Violence,Rape,tecavüz etmek,rape,Violence
Violence,Rape,?rz?na geçmek,rape,Violence
Violence,Rape,taciz,abuse,Violence
Violence,Rape,taciz etmek,abuse,Violence
Violence,Rape,bekaretini bozmak,deflower,Violence
Violence,Weaponry,b?çak,knife,Violence
Violence,Weaponry,halat,rope,Violence
Violence,Weaponry,çak?,pocketknife,Violence
Violence,Weaponry,silah,weapon,Violence
Violence,Weaponry,tabanca,gun,Violence
Violence,Weaponry,kurus?k?,blank cartridge pistol,Violence
Violence,Weaponry,kuru s?k?,blank cartridge pistol,Violence
Violence,Weaponry,haydar,bat,Violence
Violence,Weaponry,sopa,bat,Violence
